,CABA,,,Buenos Aires,,,Catamarca,,,Córdoba,,,Corrientes,,,Chaco,,,Chubut,,,Entre Ríos,,,Formosa,,,Jujuy,,,La Pampa,,,La Rioja,,,Mendoza,,,Misiones,,,Neuquén,,,Rio Negro,,,Salta,,,San Juan,,,San Luis,,,Santa Cruz,,,Santa Fe,,,Santiago del Estero,,,Tucuman,,,Tierra del Fuego,,
Edad,W_M_CABA,W_V_CABA,W_CABA,W_M_PBA,W_V_PBA,W_PBA,W_M_Catamarca,W_V_Catamarca,W_Catamarca,W_M_Cordoba,W_V_Cordoba,W_Cordoba,W_M_Corrientes,W_V_Corrientes,W_Corrientes,W_M_Chaco,W_V_Chaco,W_Chaco,W_M_Chubut,W_V_Chubut,W_Chubut,W_M_ER,W_V_ER,W_ER,W_M_Formosa,W_V_Formosa,W_Formosa,W_M_Jujuy,W_V_Jujuy,W_Jujuy,W_M_LP,W_V_LP,W_LP,W_M_LR,W_V_LR,W_LR,W_M_Mendoza,W_V_Mendoza,W_Mendoza,W_M_Misiones,W_V_Misiones,W_Misiones,W_M_Neuquen,W_V_Neuquen,W_Neuquen,W_M_RN,W_V_RN,W_RN,W_M_Salta,W_V_Salta,W_Salta,W_M_SJ,W_V_SJ,W_SJ,W_M_SL,W_V_SL,W_SL,W_M_SC,W_V_SC,W_SC,W_M_SF,W_V_SF,W_SF,W_M_SdE,S_V_SdE,W_SdE,W_M_Tucuman,W_V_Tucuman,W_Tucuman,W_M_TdF,W_V_TdF,W_TdF
55-59,"0,029","0,024",,"0,025","0,023",,"0,021","0,021",,"0,025","0,023",,"0,022","0,021",,"0,022","0,020",,"0,024","0,023",,"0,024","0,023",,"0,022","0,021",,"0,022","0,020",,"0,026","0,025",,"0,023","0,022",,"0,023","0,021",,"0,021","0,020",,"0,025","0,022",,"0,025","0,022",,"0,021","0,020",,"0,022","0,020",,"0,024","0,023",,"0,022","0,021",,"0,025","0,023",,"0,019","0,019",,"0,021","0,020",,"0,024","0,023",
60-64,"0,028","0,022",,"0,023","0,020",,"0,019","0,019",,"0,023","0,020",,"0,020","0,018",,"0,020","0,018",,"0,021","0,020",,"0,022","0,020",,"0,020","0,018",,"0,019","0,017",,"0,023","0,022",,"0,020","0,019",,"0,022","0,019",,"0,019","0,018",,"0,022","0,019",,"0,022","0,020",,"0,018","0,016",,"0,020","0,017",,"0,021","0,020",,"0,018","0,018",,"0,023","0,021",,"0,018","0,017",,"0,020","0,018",,"0,021","0,021",
65-69,"0,026","0,020",,"0,021","0,017",,"0,017","0,016",,"0,021","0,017",,"0,017","0,015",,"0,016","0,015",,"0,018","0,016",,"0,020","0,017",,"0,017","0,015",,"0,017","0,014",,"0,021","0,019",,"0,016","0,015",,"0,020","0,017",,"0,015","0,014",,"0,018","0,016",,"0,019","0,017",,"0,015","0,013",,"0,018","0,015",,"0,019","0,017",,"0,014","0,013",,"0,021","0,018",,"0,015","0,014",,"0,019","0,016",,"0,014","0,013",
70-74,"0,026","0,018",,"0,018","0,014",,"0,014","0,013",,"0,019","0,015",,"0,013","0,011",,"0,012","0,010",,"0,015","0,013",,"0,017","0,013",,"0,012","0,011",,"0,013","0,011",,"0,018","0,016",,"0,013","0,012",,"0,018","0,014",,"0,011","0,009",,"0,014","0,012",,"0,016","0,014",,"0,012","0,010",,"0,016","0,012",,"0,015","0,013",,"0,010","0,009",,"0,019","0,015",,"0,012","0,011",,"0,015","0,013",,"0,009","0,007",
75-79,"0,023","0,014",,"0,014","0,010",,"0,010","0,008",,"0,015","0,010",,"0,009","0,007",,"0,008","0,006",,"0,010","0,008",,"0,013","0,009",,"0,008","0,006",,"0,009","0,007",,"0,014","0,012",,"0,009","0,007",,"0,013","0,010",,"0,007","0,005",,"0,009","0,007",,"0,012","0,009",,"0,008","0,006",,"0,012","0,008",,"0,011","0,008",,"0,006","0,005",,"0,015","0,010",,"0,009","0,007",,"0,010","0,007",,"0,005","0,004",
80-84,"0,018","0,009",,"0,010","0,006",,"0,007","0,004",,"0,010","0,006",,"0,007","0,004",,"0,006","0,003",,"0,007","0,005",,"0,009","0,006",,"0,005","0,004",,"0,006","0,004",,"0,011","0,007",,"0,006","0,004",,"0,009","0,005",,"0,005","0,003",,"0,006","0,004",,"0,008","0,005",,"0,006","0,004",,"0,008","0,004",,"0,007","0,004",,"0,004","0,003",,"0,011","0,006",,"0,007","0,004",,"0,006","0,004",,"0,003","0,002",
85-89,"0,014","0,006",,"0,007","0,003",,"0,004","0,002",,"0,007","0,003",,"0,004","0,002",,"0,003","0,001",,"0,004","0,002",,"0,006","0,003",,"0,003","0,002",,"0,004","0,002",,"0,007","0,004",,"0,004","0,002",,"0,005","0,003",,"0,003","0,002",,"0,003","0,002",,"0,005","0,003",,"0,003","0,002",,"0,004","0,002",,"0,004","0,002",,"0,003","0,001",,"0,007","0,003",,"0,004","0,003",,"0,004","0,002",,"0,002","0,001",
90-94,"0,008","0,003",,"0,003","0,001",,"0,002","0,001",,"0,003","0,001",,"0,002","0,001",,"0,002","0,000",,"0,002","0,001",,"0,003","0,001",,"0,001","0,001",,"0,002","0,001",,"0,003","0,002",,"0,002","0,001",,"0,003","0,001",,"0,001","0,001",,"0,002","0,001",,"0,002","0,001",,"0,002","0,001",,"0,002","0,001",,"0,002","0,001",,"0,001","0,001",,"0,004","0,001",,"0,002","0,001",,"0,002","0,001",,"0,001","0,001",
95-99,"0,003","0,001",,"0,001","0,000",,"0,001","0,000",,"0,001","0,000",,"0,001","0,000",,"0,000","0,000",,"0,001","0,000",,"0,001","0,000",,"0,000","0,000",,"0,000","0,000",,"0,001","0,000",,"0,000","0,000",,"0,001","0,000",,"0,000","0,000",,"0,000","0,000",,"0,001","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,001","0,000",,"0,001","0,000",,"0,001","0,000",,"0,000","0,000",
100 y más,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",,"0,000","0,000",
